Series ID,State,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
SMU29000000000000001,Missouri,838.7,866.6,975,1053.1,1104.1,1071.7,1058.8,1085.9,1141.3,1167.4,1147.6,1190.2,1262.5,1294.1,1314,1272.7,1292.1,1319.7,1327.9,1303.6,1338.6,1350.1,1332.5,1357.3,1383.6,1418.4,1478.3,1554.2,1595.6,1631.3,1672.2,1668.1,1660.9,1700.1,1770.8,1789.3,1740.6,1797.8,1861.9,1953.2,2011.2,1969.8,1956.5,1922.5,1937,2032.7,2094.7,2142.6,2197.8,2258.9,2315,2345,2309.1,2333.7,2394.3,2470.6,2521,2567.6,2639.5,2684.3,2727,2749,2731,2699.8,2681.7,2696,2737.3,2776.7,2797.8,2793.2,2689.7,2658.4,2666.7,2685.2,2711,2739.2,2785,2848.2,2874.1,2887.4
SMU30000000000000001,Montana,108.1,113.6,118.5,119.2,116.5,115.5,115.4,125.6,136.8,143.7,145.4,147.2,149.2,153.4,154.7,155.5,160.3,166.5,162.8,160.5,163.2,165,165.2,169.8,172.7,174.3,179.3,184.7,188,192.6,195.6,199.1,204.8,215.4,224.2,234,238.2,251.1,264.9,280.4,283.9,280.4,281.9,273.7,276,281.1,279.1,275.4,274.1,282.9,291,297.3,303.7,316.6,325.7,340.4,351.6,361.8,367,375.7,383.5,391.2,391.4,395.7,400.3,410.8,420.3,434.1,444.1,444.8,428.9,428.1,431.1,440.3,448.6,453.1,460.7,467.8,472.3,477.6
SMU31000000000000001,Nebraska,223.6,223.5,237.7,271.1,289.7,289.8,287.4,283,304.4,316.6,314.9,322.3,336.9,347.7,352.3,351.7,358.2,360,359.3,360.1,372.4,384.4,390.5,396.4,401.9,408.9,418.7,434.2,449.3,458.9,474.4,484.3,490.9,517,541.3,562.1,557.8,572.1,593.7,610.1,631.2,627.6,623.2,609.8,610.8,635.4,650.5,652.5,667.2,688.1,708,731,740.8,752.3,769.6,799.1,820.3,839,858,879.9,896.1,913.1,919.5,911,913.7,921.3,934,945.5,961.7,969.5,949.8,945.1,952.6,968.8,980.4,992.9,1006.3,1015.1,1018.8,1023.1
SMU32000000000000001,Nevada,34.8,37.5,41.8,58.5,55.8,48.9,48.1,53.1,53.6,53.1,51.4,53.8,58.6,66.1,72,76.1,84.3,85.7,88.2,88.2,95.9,103.3,109.7,126.9,142.7,149.4,157.3,162,166.1,177.3,193.5,203.2,210.5,223.5,244.6,256,263.1,279.8,308.2,350.2,383.7,399.9,411.1,401.1,402.8,426,446.4,468.1,500.2,537.6,581,621,628.6,638.7,671.5,738.1,786.1,842.9,890.7,925.9,983,1026.9,1051.4,1052,1088.3,1152.7,1223,1279.6,1292.5,1263.6,1148.2,1117.8,1125.7,1144.8,1174.3,1216.9,1257.6,1298.9,1341.3,1386.5
SMU33000000000000001,New Hampshire,147.7,148.8,163.6,161.7,150.3,148,148.9,163.4,170.3,174.6,165.7,170.3,177,177.9,177.9,177.1,183.6,187,188.9,187.7,196.1,200.7,201.9,207.9,208.8,212.8,220.8,235.2,244,251.8,259.2,258.5,259.9,278.5,297.8,300.3,292.8,313.4,337.1,359.7,378.5,385.4,394.6,394.4,409.5,441.6,466.1,490.1,512.8,529,529.1,508,482,486.9,502.4,523,539.6,553.6,570.1,588.9,605.7,621.9,627.1,618.2,617.7,627.2,636.5,642.9,648.1,649.6,628.4,624.6,628,634.3,639.5,646.6,656.2,668.4,675.7,681
SMU34000000000000001,New Jersey,1247.1,1314.3,1501.1,1641.9,1736.6,1693.8,1572.8,1561.8,1622.4,1657.1,1595.6,1656.8,1767.9,1804.1,1850.3,1820.8,1865.3,1933.2,1968.3,1911.8,1970.9,2017.1,2033.6,2095.8,2129.4,2168.7,2256.5,2359.1,2421.5,2485.2,2569.6,2606.2,2607.6,2672.5,2759.7,2783,2699.9,2753.7,2836.9,2961.9,3027.2,3060.4,3098.9,3092.7,3165.1,3329.2,3414.1,3488.1,3576.3,3651,3689.8,3634.8,3497.8,3456.3,3490.8,3550,3597.1,3634.9,3719.8,3801.3,3901.1,3994.5,3996.8,3983.6,3977.1,3997.8,4038.2,4069.5,4076.9,4048.2,3893.9,3848.3,3847.3,3890.3,3935,3967.5,4022.4,4060.4,4117.2,4154.8
SMU35000000000000001,New Mexico,79.5,83.9,91,98.5,99.8,101.2,105.9,115.1,122.7,134.3,140.9,151.7,161.1,171.4,179.4,175.3,182.9,197.8,210.3,220.7,233.5,236.3,236.2,242.6,248.6,255.7,262.5,271.7,272.6,276.6,287.5,292.6,305.7,327.5,346,360.2,370.2,390,415.4,444.3,461,465.4,475.5,473.6,479.5,502.7,520.2,525.9,529.3,547.5,562.2,580.4,585.4,601.5,626.2,657.3,682.4,694.6,708.5,720,729.7,744.8,757.2,766.1,775.6,790.4,808.7,832.2,843.7,846.8,812.4,803.4,802.1,804.2,810.9,819.1,825.6,827.7,831.6,842.2
SMU36000000000000001,New York,4130.9,4324.7,4735.4,4997.7,5226.1,5182.8,5061.3,5324.8,5518.2,5596.1,5472.5,5576,5755.4,5827.7,5935.7,5828.3,5917.2,6092.6,6179,6027.2,6128.1,6181.9,6157.7,6261.4,6273.7,6370.7,6518.7,6709.5,6858.3,7001.7,7182,7156.5,7011.4,7038.5,7132.2,7077.1,6829.9,6789.5,6857.6,7044.5,7179.4,7207.1,7287.3,7254.6,7313.3,7570.4,7751.3,7907.9,8059.4,8186.9,8246.8,8203.2,7877.7,7721.1,7750.3,7821.8,7882.4,7928.8,8057.1,8226.6,8445.7,8624.9,8581.2,8448,8395.7,8450.5,8522.4,8603.5,8718.9,8777.3,8540,8544.3,8668.9,8795.1,8930,9094.2,9246.5,9435,9560.1,9669.9
SMU37000000000000001,North Carolina,622.7,653.6,736.3,783.5,812.6,779.4,759.3,827.8,879.6,894.9,868.3,927.8,987.3,1006.4,1023.7,1011.9,1059.4,1099.2,1101.4,1108.8,1163.7,1195.5,1209.1,1258.5,1298.6,1353.7,1431.2,1534.3,1600.9,1678.6,1747,1782.8,1813.5,1912,2018.1,2048.2,1979.8,2082.8,2170.6,2277.5,2373,2380.1,2391.6,2347,2419.3,2565.2,2651.2,2744.1,2862.6,2986.6,3073.9,3127.1,3081.3,3144.9,3246.7,3354.5,3453.8,3538.2,3654.4,3759.3,3849.2,3915.1,3893,3835,3786.9,3833.8,3912,4037.3,4141.2,4130.6,3904,3869.6,3916.6,3986.3,4056.8,4139.6,4239.7,4339.6,4411.4,4488.2
SMU38000000000000001,North Dakota,72.2,74.2,78.3,78.2,77.3,79.8,81.1,90.2,97.9,103.8,106.8,109.3,109.9,113.6,115.4,117.4,116.3,120.2,121.6,123.2,128.3,126.8,127.1,131.3,136.7,142.6,146.1,148.4,151.5,155.7,157.9,163.7,167.1,176.1,183.9,193.8,203.6,215,221.1,234,244.2,245.2,249.4,249.7,250.7,252.5,252,249.9,252.4,256.8,260.4,265.8,270.6,277.2,284.9,294.8,301.8,308.7,314.1,319.5,323.9,327.7,329.7,329.8,332.6,337.9,344.7,352.2,358.4,367.3,366.7,376,396.6,429,444.4,461.2,453.8,434.3,430.8,433.4
SMU39000000000000001,Ohio,1783.8,1906.6,2201.3,2411.3,2607,2558,2417.9,2532.1,2708.3,2785.5,2654.9,2760,2953.4,3005.7,3150.3,3028.4,3128.9,3219.7,3230.6,3007.2,3112.5,3147.3,3044.3,3099.2,3145.2,3216.3,3364.3,3537.3,3619.8,3750.8,3887.3,3880.7,3839.6,3938.3,4112.9,4169.4,4016.2,4094.6,4230.1,4394.9,4484.8,4367.4,4317.7,4124.3,4092.5,4260.2,4372.9,4471.5,4582.6,4700.6,4817.5,4882.3,4818.6,4847.7,4918.3,5076,5221.1,5296.4,5392.5,5482.1,5563.6,5624.7,5542.6,5445,5397.7,5408.4,5426.7,5435.4,5427,5361.8,5072.5,5036,5107.9,5201.8,5266.8,5344,5421.2,5481,5525.8,5559.9
SMU40000000000000001,Oklahoma,326.3,332.4,358,411.5,447,435.7,424,412.2,437.3,462.8,465.9,476.9,504.3,526.5,535.3,531.4,550.9,563.4,564.4,555,569.2,577.1,582.1,596.7,606.7,619.3,642.5,676,699.6,720.4,748.2,762.5,774.4,812,851.9,886.9,899.7,931.1,971.6,1035.7,1088,1138.1,1201.2,1216.9,1170.7,1180.3,1165.3,1124.4,1108.5,1131.5,1163.8,1209.6,1224.8,1235.6,1260.9,1293.5,1329.7,1367.6,1406.6,1454.2,1474.9,1502.4,1519.6,1499.3,1471,1487.2,1525.2,1565.7,1594.9,1618.5,1567.6,1556,1577.7,1614.1,1635.3,1656.6,1668.7,1653.5,1662.5,1687.4
SMU41000000000000001,Oregon,258.6,273,312.6,373,420,416.2,384.9,392.5,420,433.4,419.2,438,462,468.4,469,456.6,476.1,492.5,480.3,475.7,498.7,509.7,509.7,528.6,549.5,573.8,608.3,640.4,652.2,679.1,708.7,710.6,728.8,774.7,816.2,838.2,837.3,878.5,936.9,1009.2,1056,1044.5,1018.7,961.1,966.7,1006.9,1030,1058.5,1100.1,1152.8,1205.8,1255.7,1253.5,1276.5,1317.5,1372.4,1428.1,1484.7,1536.7,1562.4,1585.8,1617.6,1605.3,1585.1,1574.1,1606.4,1654.2,1703.2,1731,1718.1,1612.2,1601.7,1619.7,1639.9,1674.2,1721.9,1778.7,1833.6,1875.3,1909.5
SMU42000000000000001,Pennsylvania,2701.5,2893.5,3241.1,3445.7,3514.9,3443.5,3335.3,3427.3,3673.5,3726.7,3555.9,3644.4,3839.1,3853.4,3911.5,3693.8,3749.6,3827.8,3845.4,3662.1,3679.1,3715.4,3634.1,3694.9,3694.8,3777.1,3917.5,4077.1,4171.3,4263.5,4374.9,4351.6,4291.3,4400,4506.5,4514.6,4435.8,4512.8,4565.2,4716.2,4806.1,4753.1,4728.9,4580.1,4524.3,4654.8,4730.3,4790.9,4915.1,5041.7,5138.5,5172.9,5086.3,5078.3,5125.6,5195.1,5255.8,5308.9,5409.1,5497.4,5588.4,5693.3,5684.2,5642.2,5612.5,5645,5703,5757,5798.9,5800.1,5616.6,5622.1,5685.6,5725.8,5740.6,5788.7,5836,5882.9,5941.3,6006
SMU44000000000000001,Rhode Island,243.7,251.5,298.3,318.8,317.4,300.3,279,287.1,298,299.5,281.1,298.6,308.1,304.1,304.3,290.5,295,296.1,285,276.8,287,291.8,291.6,298.3,298,303.8,316.3,329.9,338.3,343,346.4,344,342.8,358.1,365.9,367,349.2,366.7,381.7,395.8,399.9,398.3,401.4,390.5,396.4,416.4,429.2,442.6,451.9,459.4,461.9,454,424.1,424.2,430,434.2,438.9,440.7,450,458,465.5,476.7,478.4,479.4,484.3,488.5,491,492.9,491.8,481,459.4,458,460.5,465.4,471.5,478.8,484.5,489.7,493.4,496.1
SMU45000000000000001,South Carolina,310.1,328.6,387.5,416.5,428.5,408.6,396,411.6,436.2,456.4,443.1,461.4,505.8,544.3,543.9,519.7,533,542.9,545,545.9,566.9,582.5,587,609.8,630.6,651.5,686,734.9,754.5,782.9,819.8,842,862.6,920.3,984,1015.8,982.6,1038.1,1081.7,1137.5,1176,1188.8,1196.5,1162.3,1189,1262.5,1296.2,1338,1392.2,1449,1499.7,1527.6,1497.3,1512,1553.1,1592.1,1636.3,1669.5,1718.9,1779.9,1826.4,1854,1814.9,1795.4,1799.1,1826.7,1862.9,1905.6,1945,1926.2,1814.4,1811.4,1832.6,1864.2,1901,1951.3,2004.2,2055.3,2094.8,2145.3
SMU46000000000000001,South Dakota,85.9,89,92.5,100.7,94.8,92.9,94.9,101.4,110.8,116.5,117.7,120.1,121.6,123.9,126.1,127,129.8,134.4,133,134.3,139.2,142.8,148,154,152.7,152.3,155.6,160.1,163.9,167.9,173,175.4,179,189.9,199.1,206.6,209.3,218.6,226.6,236.6,241.3,238,236.1,230.2,235.3,247,249.4,251.9,256.9,266.1,276,288.5,296,307.8,317.7,330.6,342,347,353,360.2,370.2,377.8,378.7,377.5,378.4,383.7,390.1,398.6,406.5,411.4,403.7,403.2,407.5,414,417.7,423.7,428.1,432.4,434.2,438.9
SMU47000000000000001,Tennessee,475.3,494.1,568.8,626.6,683.1,708,682,676.4,716.8,753.8,722.1,759.3,805.9,826.5,852.6,842.2,867.6,886.7,886.8,875.1,907,925.4,934,969.4,1002.5,1045.5,1108.5,1184.4,1218.8,1264,1309.8,1327.6,1356.8,1450.1,1531.2,1558.2,1505.8,1575.4,1648.1,1737,1777.3,1746.6,1755.4,1703.1,1719,1812.1,1867.8,1929.8,2011.7,2092.1,2167.2,2196,2185.9,2247.7,2331.3,2426,2502.6,2537.3,2587.7,2642.4,2689.4,2732.9,2688.3,2664.4,2662.7,2706.1,2743.1,2782.7,2797.4,2774.8,2619.8,2615.3,2661.4,2715,2760,2822.2,2891.9,2965.3,3011.3,3060.3
SMU48000000000000001,Texas,1075.7,1126.2,1275.7,1481.8,1664.4,1638.8,1579.1,1631.2,1742.8,1849.5,1840.9,1921.4,2103.5,2201.8,2224.7,2199.5,2291.2,2396.1,2450.2,2441.8,2517.5,2539.5,2549.5,2631.2,2706.5,2808,2932.4,3108.7,3259.3,3424.3,3597.1,3625,3683.5,3884.4,4141.7,4360.3,4462.9,4683.7,4906.8,5271.6,5601.8,5851.3,6180,6263.4,6193.6,6492.3,6663.1,6564.2,6516.9,6677.8,6840,7098.9,7177.4,7272.9,7485.5,7755.6,8027.3,8260.2,8610.9,8940.5,9157.3,9428.9,9510.9,9412.7,9366.9,9494.1,9737.5,10063.6,10393.1,10606.7,10304.7,10337.4,10567.9,10878.3,11204.8,11559.2,11838.3,12013.5,12227.7,12503.4
SMU49000000000000001,Utah,110,115.1,131.9,170.9,189.4,173.1,168.9,168.5,178.1,183.5,183.6,189.1,207.4,214.4,217.2,211.8,223.9,234.1,240.4,240.6,251.7,263.1,272.1,286.1,293.7,293.2,299.8,317.4,326.6,335.1,348.2,356.9,369.3,393,414.8,434.1,440.3,462.8,488.7,525.4,548.4,550.8,558,560.9,567,601.2,624.4,634.1,640,660,691.1,725.6,748.3,771.1,812.3,862.2,909.6,955.5,994.2,1023.2,1048.5,1075.4,1081.3,1073.4,1074.1,1104.3,1148,1203.7,1253.3,1252.5,1188.8,1182.5,1207.7,1250.4,1290.5,1327.6,1377.5,1426.7,1469.1,1516.5
SMU50000000000000001,Vermont,74.8,78,87.9,91.5,90.7,90.9,90.6,96.3,99,98.9,95.2,96.9,99.8,99.7,103.5,101.6,102.1,106,106,103.9,107.4,107.9,107.3,110.5,111.5,113.7,121.3,130.8,136.3,140.3,145.5,147.9,148.1,153.6,161.3,162.8,162,168.4,178.4,190.6,197.9,200.1,204.3,202.9,206.4,214.9,224.8,234.4,245.6,256.1,261.8,257.7,249.1,251.2,257.4,263.9,270.2,275.1,279.4,285,291.6,298.7,302.1,299.3,299.2,303,305.5,307.7,308.4,307.2,297.2,298,300.7,304.5,306.6,309.6,312.5,313.2,315,315.5
SMU51000000000000001,Virginia,539.8,573.7,677.3,785.2,788,748.7,728.3,745.5,772.1,785.9,775.5,805.4,869.4,898.2,903.3,880.3,912,955.5,971.9,967.1,1000.5,1017.5,1034.9,1081.8,1123.7,1163,1218.9,1285.3,1330.2,1385,1436.4,1518.9,1567.1,1655.5,1753.1,1804.6,1778.6,1848.1,1930.4,2033.5,2115,2157,2160.8,2146.4,2206.9,2333.3,2454.7,2557.7,2680.4,2772.5,2861.9,2897.1,2831.7,2851.2,2921.7,3006.5,3072.5,3138.7,3234.7,3322.8,3415.3,3519.4,3522.1,3499.2,3501.8,3587.4,3667.3,3732.2,3769.5,3772.4,3650.4,3646.8,3692.8,3735.8,3762.3,3783.4,3851.2,3914.5,3955.8,4000.6
SMU53000000000000001,Washington,430.9,465.5,540.2,660.1,735.5,772.2,706.5,649.4,670.9,685.5,671.5,683.8,734.8,745.8,748.7,741.4,768,784.8,803.3,789.6,812.7,812.6,818.5,856.6,850.6,854.8,896.5,988.5,1045.3,1099.3,1120.2,1079.3,1064.4,1100.1,1152.2,1199.1,1225.7,1282.9,1366.9,1485.4,1581.2,1608.3,1612,1568.6,1586.2,1659.6,1710.4,1769.9,1851.8,1941.9,2048.2,2147.5,2182,2227.3,2266.8,2316.3,2361.1,2430.7,2536.3,2621.5,2679.3,2746,2735.2,2693.9,2701.9,2739.8,2812.5,2894.2,2968.4,2993.8,2862.7,2836,2872.2,2919.2,2985.9,3065.3,3153.9,3242.8,3321.1,3406
SMU54000000000000001,West Virginia,373.4,399.5,438.6,473.7,466.7,458.9,460.8,482.8,519.6,550.9,523.1,524.3,537.5,526.4,513.1,475.4,480.5,502.3,508.5,470.3,465.1,460.1,448.1,447.5,449.9,460.9,476.6,495.2,503.6,508.4,512.3,516.5,520,540.5,561.6,572.4,574.7,596.3,611.5,633.1,658.6,645.9,628.5,607.8,582.4,596.6,597.2,597.5,599,609.8,614.7,630.6,629.6,640.8,653.7,676,689.8,700.8,710.4,721.9,729.1,739.1,738.9,737.1,731.9,742.4,751.4,762.2,764,769,752.8,754.8,762.5,773,771.6,769.1,764,716.9,715.5,726
SMU55000000000000001,Wisconsin,666.8,694.6,776.1,845.2,886.8,901.8,896.5,928.9,985.9,1014.7,986.8,1022.1,1071.2,1080,1097.3,1069.6,1108.1,1146.9,1152,1114.9,1166,1191.9,1179.9,1207.2,1233.5,1270.9,1331.7,1394.1,1430.5,1472.1,1525.1,1530.4,1525.4,1580.8,1660.5,1703.4,1676.8,1725.9,1798.9,1887,1960.2,1938.1,1923.2,1866.7,1867.3,1949.2,1983.1,2023.9,2089.6,2168.5,2236.4,2291.4,2301.8,2357.5,2412.1,2490.1,2557.8,2599.6,2654.7,2716.8,2782.6,2832.2,2812.2,2780.1,2771.8,2802.3,2836,2859.1,2875.7,2868.2,2741.1,2725,2751.8,2780.5,2809.4,2852.3,2888.9,2926.4,2947.9,2971.5
SMU56000000000000001,Wyoming,54.3,55.6,60.6,62.9,64.8,65,65,67.3,73.1,79.3,78.7,80.2,82.9,85.7,87.2,85.4,85.5,87.3,88,88.3,92.3,96.5,96.4,95.6,96.2,97.2,96.7,97.2,99,102.9,107,108.4,111.1,117.3,126.1,136.5,146,156.6,170.6,187.4,200.7,210.2,223.5,217.7,202.5,204.3,206.9,196.3,183.1,189,192.8,198.5,203.1,205.6,210.4,216.9,219.4,221.2,224.6,228.3,233.1,239.4,245.4,247.9,250,255.4,263.9,277.3,288.8,297.5,285.2,281.8,286.1,288.9,289.3,293,290.4,285.9,283.6,285.5