GeoFips,State,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,United States,43431,41750,42366,43549,44599,44255,45763,47530,47910,48980
1000,Alabama,40524,39734,40198,40778,40815,40666,41691,43283,43619,44239
2000,Alaska,47573,46942,49086,50915,50971,49661,51142,53045,51354,51528
4000,Arizona,37637,35583,35730,36481,37245,37502,38799,40158,40812,41790
5000,Arkansas,39117,38328,38145,39473,41364,40793,42883,43792,44470,45498
6000,California,41333,39710,40221,41599,43297,43070,44826,47651,48604,49637
8000,Colorado,45264,42156,42211,43888,45220,45803,48421,49566,49069,50810
9000,Connecticut,58857,57928,59427,59786,59538,57898,59604,61213,61990,63366
10000,Delaware,42512,42024,41576,44031,43614,43549,44290,46629,46684,47650
12000,Florida,41448,39025,40673,41217,41498,40502,42242,44242,44135,45396
13000,Georgia,40039,38986,39175,40637,40483,40192,42117,43669,44539,45621
15000,Hawaii,37928,37655,37451,38035,38079,37564,38878,40362,41494,42507
16000,Idaho,36600,35075,35787,36686,37745,38380,39430,41536,42181,42895
17000,Illinois,45998,43353,43687,44583,45820,46687,48512,50601,51058,51892
18000,Indiana,41128,39784,40633,41928,43113,42916,44063,45996,46946,47704
19000,Iowa,46309,44456,44713,46470,47658,47429,48299,49966,49859,50093
20000,Kansas,48623,46494,46075,48130,49859,49770,50245,51096,50835,51449
21000,Kentucky,39237,38649,39172,39934,40312,39777,41477,42863,43459,44187
22000,Louisiana,44497,42537,43227,43440,44445,44349,45730,46216,45558,46208
23000,Maine,40267,40272,41002,41411,41015,40313,41546,42809,43756,44831
24000,Maryland,47697,46684,47181,48282,48703,47720,48324,50677,52014,52413
25000,Massachusetts,51025,50303,51463,52425,53893,53160,54436,57466,58403,59919
26000,Michigan,39839,38123,39140,40500,41415,41276,42836,45512,46510,47140
27000,Minnesota,47142,44745,45929,47658,49115,48584,50190,52330,52706,53384
28000,Mississippi,37579,37071,37343,37836,38549,38371,39053,39515,39692,40195
29000,Missouri,44925,43884,43687,43962,44996,44336,45295,46782,47758,48446
30000,Montana,39389,38659,40021,41573,43177,41978,43088,44472,44784,45386
31000,Nebraska,47771,46687,47477,51418,51461,50775,52668,54558,53238,53549
32000,Nevada,40930,38200,39037,39456,40224,39338,41436,44047,44647,45552
33000,New Hampshire,45389,44987,46023,47462,48381,47580,48518,50378,51316,52281
34000,New Jersey,49047,47186,47201,47866,48667,48838,50205,52404,53329,54502
35000,New Mexico,37712,36943,37123,37527,37651,36382,38228,39643,40104,40118
36000,New York,44714,43697,44500,45652,46879,46761,47770,49657,50821,53700
37000,North Carolina,43606,41447,40922,41062,42576,41125,42702,44635,45178,45836
38000,North Dakota,48610,47467,51052,54631,61036,57993,59876,56915,55576,55369
39000,Ohio,43312,42427,42671,44486,45545,45385,46568,48314,48723,49724
40000,Oklahoma,46201,42089,42701,44530,46199,47335,49553,47904,45315,46451
41000,Oregon,40168,38236,38400,39205,40201,39989,41872,44599,45085,46073
42000,Pennsylvania,45000,43856,44692,45886,46835,46514,48065,49877,50518,51418
44000,Rhode Island,44364,43449,45364,45924,46940,46260,47000,48718,48707,50313
45000,South Carolina,38511,36981,37587,38352,39228,39008,40708,42511,43064,44079
46000,South Dakota,50142,48945,49584,52236,50925,50841,51971,53777,53259,53219
47000,Tennessee,40974,40368,41388,42576,43383,42965,44272,46078,46674,47086
48000,Texas,43342,40574,41642,43784,45199,44927,46710,46816,45404,46806
49000,Utah,37223,34709,34755,35929,37268,37169,38752,41211,42067,42982
50000,Vermont,43371,42666,43621,44754,45048,45009,45415,46926,47999,48026
51000,Virginia,47055,45454,46217,47368,48223,46986,48131,50139,50533,51325
53000,Washington,45952,43125,43391,44395,46242,45835,47816,49770,50932,52149
54000,West Virginia,38248,38197,38286,39376,39707,38993,39923,40469,40649,42082
55000,Wisconsin,44564,43695,44005,45096,46087,45779,46894,48829,49525,50536
56000,Wyoming,53815,48528,49927,52812,55992,54446,57056,57599,54457,56114