State,2003,2005,2007,2009,2011,2013,2015,2017
United States,263.2902734,262.1696589,262.791678,264.0099955,265.1987606,267.598314,265.4433145,266.02
Alabama,253.1725937,251.9783912,251.9368814,254.8952466,258.4210904,257.4278382,258.7537615,257.43
Alaska,256.4096253,258.7212747,258.7984559,259.4494265,261.285252,261.2560926,260.3170188,261.26
Arizona,255.3201152,254.7879382,254.8287924,257.5952755,260.1480052,260.4482872,262.7693918,260.45
Arkansas,257.998089,257.6917319,257.9609958,258.0485802,259.1409378,261.9644908,258.768268,261.96
California,251.0075004,250.4310564,251.2877915,252.6313808,254.9352183,261.5024557,258.9868426,261.5
Colorado,267.5926409,264.7581061,266.4078816,265.5131199,270.6362043,271.0090869,268.0732253,271.01
Connecticut,267.2180754,264.0127592,267.0556914,271.8101332,274.6813995,274.4595425,273.0480304,274.46
Delaware,264.5320515,266.0093654,264.5448307,264.9989661,265.8394755,265.9849815,262.6132907,265.98
Florida,257.3013198,255.77997,259.7907207,264.3620409,262.1213748,265.8282971,263.3830014,265.83
Georgia,257.714825,256.8723815,258.7049928,260.2445245,262.3586434,264.6157135,262.2686053,264.62
Hawaii,251.2848019,248.505423,251.3308107,254.7389799,257.1880104,259.9605695,257.3504398,259.96
Idaho,264.4397757,264.3017438,264.8863424,264.837185,268.0146716,270.2241686,268.5534796,270.22
Illinois,266.4089689,263.5170297,262.8266171,264.5140023,265.6437294,266.898721,266.8067283,266.9
Indiana,264.8325323,261.0136865,264.0959609,265.6912406,264.7298445,267.2729747,268.2534677,267.27
Iowa,267.5048317,267.0031717,267.4507196,264.888126,264.5545275,269.0034496,268.2005963,269
Kansas,266.0116896,266.8312332,267.4137909,266.7995193,267.3363958,266.8875236,266.7655306,266.89
Kentucky,266.1914352,263.9384184,261.965951,266.8540198,268.8339636,269.6164717,267.7729001,269.62
Louisiana,253.4482882,252.6915933,253.2382943,253.329004,254.6883478,257.3512427,255.4694178,257.35
Maine,268.3232652,269.9834438,269.9201538,267.7064996,269.872413,269.193764,268.3912363,269.19
Maryland,261.5957319,260.7823834,265.2401215,267.2980565,271.2228966,273.8019031,267.9055297,273.8
Massachusetts,272.9066451,273.7160629,273.2840488,273.5892897,275.3685176,277.0095591,274.4975681,277.01
Michigan,264.3782925,261.1384723,260.3177061,261.89815,265.1940412,265.9429631,264.4967551,265.94
Minnesota,267.7113584,268.3566729,268.1974428,269.7398201,270.1489602,271.0196546,270.2368178,271.02
Mississippi,255.010828,250.5306689,250.0635701,251.3056546,253.8334404,253.1478182,251.9761652,253.15
Missouri,267.3636733,264.6593688,263.442316,266.8764602,266.7620513,267.2150118,266.8763518,267.22
Montana,269.833416,269.2241297,270.93785,270.393926,272.8741408,271.7657825,269.9567776,271.77
Nebraska,266.3136904,267.4556943,267.0308506,267.0678566,267.7038652,269.2219146,269.4262109,269.22
Nevada,252.3099157,252.8690625,252.3484739,253.8409544,258.1932642,261.6959822,259.4173764,261.7
New Hampshire,270.734453,269.6512703,269.7345886,270.7481588,272.0786265,274.3077317,274.8067463,274.31
New Jersey,267.7869531,269.4232281,270.1415503,272.8026339,275.1831643,276.3779878,270.8537115,276.38
New Mexico,251.599156,251.0333307,250.7531745,254.1291737,255.8616346,255.870077,253.2277676,255.87
New York,265.3297945,265.1385618,263.5457165,264.2880575,265.6970283,266.3460632,263.2476586,266.35
North Carolina,261.7116448,258.1601855,259.1367031,259.5284866,262.9289563,264.5409997,260.5945566,264.54
North Dakota,269.7303543,270.2437558,268.0176705,269.2399849,268.6942179,267.7791997,266.955323,267.78
Ohio,266.5661059,266.7672812,267.9789794,268.6782355,268.2839492,269.0869734,265.8792203,269.09
Oklahoma,261.719961,259.63136,259.5472252,259.495771,260.1212646,261.9314952,262.6731459,261.93
Oregon,264.0255699,263.1568908,265.7102102,265.0892467,264.2256116,268.2826627,267.6705197,268.28
Pennsylvania,264.2673651,266.8219111,267.6656302,270.7005367,267.7505967,272.0853653,268.7461208,272.09
Rhode Island,260.8795721,260.9683268,258.3211177,259.8855897,265.1195563,266.6770524,265.0508578,266.68
South Carolina,258.0889914,257.1691046,257.4212028,257.2741846,260.3070199,261.4490507,260.3314228,261.45
South Dakota,269.9710586,268.5404356,269.5967634,270.0609902,268.9415376,268.1007728,267.079865,268.1
Tennessee,258.1083646,259.0723418,259.1619549,260.9466762,259.2083707,265.3595046,264.771229,265.36
Texas,258.777258,258.191598,260.8129192,260.368795,261.4283909,263.6841377,260.655136,263.68
Utah,264.3034426,261.8708721,262.2280247,265.5915771,267.0874061,270.0419258,269.4306647,270.04
Vermont,270.519439,268.7724206,273.0457572,272.3051342,273.840765,274.3685477,273.9618314,274.37
Virginia,268.0048171,267.8089667,266.8787375,265.6419817,267.2728912,267.5898643,266.8360535,267.59
Washington,264.4940665,264.6565519,264.9477781,266.9176171,267.5774737,272.0361244,267.2508807,272.04
West Virginia,259.5642379,255.0733796,254.9985524,254.7997475,256.1068616,257.3835093,260.1852726,257.38
Wisconsin,266.4686176,266.2285608,264.1845096,265.8126157,267.1670297,267.5429942,269.5337264,267.54
Wyoming,267.0010285,268.1242349,266.2255436,268.1594281,269.5687297,270.9661722,268.8033631,270.97