State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
United States,0.347,0.353,0.36,0.369,0.376,0.38,0.383,0.387,0.39,0.396,0.397,0.404,0.413,0.419,0.426,0.432,0.44,0.449
Alabama,0.288,0.291,0.316,0.308,0.338,0.317,0.31,0.315,0.324,0.329,0.322,0.335,0.349,0.343,0.351,0.357,0.371,0.369
Alaska,0.304,0.302,0.319,0.304,0.324,0.311,0.336,0.348,0.346,0.321,0.366,0.344,0.367,0.36,0.351,0.374,0.375,0.377
Arizona,0.312,0.302,0.302,0.321,0.329,0.341,0.352,0.347,0.345,0.361,0.34,0.352,0.368,0.363,0.365,0.361,0.372,0.389
Arkansas,0.237,0.249,0.286,0.255,0.26,0.273,0.271,0.277,0.275,0.291,0.294,0.303,0.312,0.308,0.321,0.331,0.326,0.352
California,0.342,0.337,0.357,0.366,0.367,0.367,0.373,0.376,0.376,0.384,0.384,0.388,0.401,0.401,0.412,0.419,0.43,0.442
Colorado,0.424,0.419,0.423,0.449,0.433,0.464,0.447,0.457,0.459,0.462,0.46,0.473,0.472,0.479,0.489,0.499,0.498,0.513
Connecticut,0.43,0.438,0.434,0.451,0.457,0.451,0.45,0.464,0.472,0.467,0.468,0.476,0.487,0.492,0.498,0.504,0.509,0.514
Delaware,0.356,0.346,0.373,0.391,0.388,0.378,0.397,0.372,0.372,0.405,0.382,0.395,0.401,0.421,0.427,0.42,0.415,0.409
Florida,0.331,0.341,0.337,0.349,0.355,0.356,0.368,0.372,0.367,0.373,0.368,0.379,0.39,0.396,0.399,0.412,0.412,0.428
Georgia,0.333,0.328,0.327,0.349,0.34,0.377,0.364,0.37,0.375,0.378,0.369,0.378,0.383,0.389,0.39,0.401,0.41,0.417
Hawaii,0.378,0.362,0.391,0.378,0.4,0.366,0.418,0.421,0.411,0.437,0.404,0.413,0.423,0.456,0.442,0.453,0.451,0.465
Idaho,0.311,0.283,0.333,0.334,0.333,0.325,0.348,0.365,0.351,0.339,0.347,0.36,0.367,0.371,0.363,0.373,0.402,0.383
Illinois,0.381,0.396,0.397,0.405,0.425,0.426,0.424,0.429,0.437,0.442,0.438,0.449,0.456,0.46,0.471,0.473,0.486,0.486
Indiana,0.301,0.317,0.319,0.314,0.329,0.329,0.342,0.347,0.361,0.36,0.355,0.369,0.377,0.372,0.393,0.39,0.403,0.418
Iowa,0.36,0.377,0.378,0.383,0.414,0.422,0.42,0.433,0.437,0.445,0.444,0.457,0.476,0.467,0.485,0.48,0.487,0.494
Kansas,0.368,0.403,0.376,0.42,0.431,0.405,0.405,0.412,0.424,0.413,0.428,0.425,0.435,0.443,0.45,0.456,0.453,0.481
Kentucky,0.263,0.269,0.286,0.286,0.29,0.303,0.316,0.31,0.321,0.336,0.326,0.332,0.343,0.365,0.359,0.366,0.379,0.378
Louisiana,0.245,0.251,0.259,0.279,0.283,0.275,0.275,0.269,0.279,0.303,0.303,0.303,0.318,0.319,0.334,0.337,0.333,0.339
Maine,0.333,0.335,0.369,0.362,0.364,0.358,0.376,0.397,0.366,0.384,0.391,0.41,0.388,0.416,0.433,0.446,0.447,0.463
Maryland,0.404,0.418,0.42,0.438,0.422,0.431,0.455,0.443,0.447,0.458,0.454,0.468,0.477,0.473,0.494,0.494,0.499,0.508
Massachusetts,0.475,0.495,0.494,0.509,0.532,0.51,0.516,0.525,0.523,0.539,0.536,0.534,0.538,0.549,0.555,0.557,0.569,0.571
Michigan,0.333,0.355,0.356,0.366,0.37,0.374,0.377,0.382,0.384,0.382,0.382,0.39,0.399,0.41,0.419,0.42,0.422,0.434
Minnesota,0.422,0.448,0.44,0.46,0.472,0.481,0.478,0.482,0.494,0.492,0.502,0.508,0.521,0.52,0.533,0.541,0.54,0.552
Mississippi,0.259,0.274,0.287,0.276,0.293,0.299,0.301,0.297,0.307,0.296,0.316,0.318,0.326,0.324,0.351,0.345,0.345,0.349
Missouri,0.319,0.323,0.344,0.344,0.362,0.35,0.362,0.368,0.371,0.381,0.387,0.395,0.399,0.412,0.418,0.423,0.43,0.431
Montana,0.333,0.334,0.339,0.369,0.377,0.375,0.398,0.372,0.396,0.403,0.406,0.42,0.417,0.419,0.4,0.442,0.438,0.447
Nebraska,0.381,0.406,0.396,0.401,0.439,0.439,0.433,0.444,0.432,0.438,0.448,0.443,0.465,0.465,0.479,0.478,0.5,0.501
Nevada,0.241,0.235,0.239,0.247,0.271,0.268,0.279,0.281,0.28,0.292,0.284,0.283,0.3,0.303,0.315,0.316,0.311,0.338
New Hampshire,0.411,0.436,0.41,0.443,0.431,0.454,0.463,0.467,0.486,0.469,0.47,0.474,0.483,0.474,0.491,0.498,0.511,0.507
New Jersey,0.411,0.437,0.422,0.433,0.431,0.448,0.456,0.452,0.463,0.466,0.476,0.475,0.49,0.498,0.506,0.512,0.524,0.544
New Mexico,0.29,0.28,0.33,0.284,0.307,0.304,0.317,0.31,0.317,0.321,0.308,0.32,0.339,0.341,0.32,0.328,0.349,0.338
New York,0.405,0.404,0.423,0.43,0.439,0.455,0.452,0.46,0.467,0.485,0.475,0.48,0.487,0.503,0.511,0.514,0.521,0.532
North Carolina,0.337,0.33,0.343,0.359,0.364,0.374,0.366,0.373,0.372,0.39,0.387,0.398,0.397,0.412,0.42,0.424,0.442,0.451
North Dakota,0.411,0.435,0.417,0.436,0.444,0.471,0.474,0.474,0.491,0.475,0.498,0.486,0.509,0.508,0.49,0.507,0.518,0.538
Ohio,0.325,0.339,0.335,0.351,0.349,0.357,0.357,0.372,0.378,0.382,0.387,0.387,0.4,0.409,0.419,0.422,0.426,0.433
Oklahoma,0.284,0.275,0.287,0.293,0.303,0.318,0.31,0.312,0.316,0.311,0.318,0.337,0.341,0.339,0.341,0.342,0.355,0.356
Oregon,0.335,0.34,0.348,0.36,0.383,0.367,0.379,0.392,0.388,0.393,0.387,0.391,0.412,0.42,0.421,0.444,0.449,0.461
Pennsylvania,0.352,0.367,0.366,0.373,0.37,0.39,0.398,0.404,0.409,0.422,0.424,0.427,0.442,0.45,0.454,0.467,0.478,0.481
Rhode Island,0.38,0.412,0.401,0.424,0.408,0.437,0.436,0.426,0.437,0.451,0.436,0.433,0.441,0.44,0.429,0.446,0.473,0.46
South Carolina,0.302,0.323,0.315,0.318,0.347,0.333,0.325,0.347,0.345,0.356,0.355,0.356,0.375,0.381,0.38,0.39,0.397,0.401
South Dakota,0.355,0.386,0.376,0.39,0.393,0.426,0.421,0.419,0.43,0.409,0.43,0.428,0.429,0.459,0.459,0.454,0.474,0.445
Tennessee,0.286,0.291,0.301,0.306,0.314,0.31,0.31,0.312,0.326,0.344,0.338,0.343,0.356,0.366,0.365,0.375,0.381,0.4
Texas,0.304,0.303,0.311,0.314,0.326,0.318,0.324,0.328,0.329,0.33,0.335,0.345,0.349,0.357,0.365,0.372,0.378,0.39
Utah,0.354,0.352,0.37,0.38,0.385,0.407,0.397,0.398,0.408,0.395,0.401,0.408,0.421,0.425,0.426,0.43,0.459,0.464
Vermont,0.399,0.409,0.404,0.411,0.415,0.431,0.437,0.451,0.45,0.457,0.441,0.481,0.473,0.481,0.47,0.467,0.492,0.494
Virginia,0.391,0.401,0.404,0.412,0.418,0.422,0.433,0.435,0.439,0.443,0.458,0.474,0.477,0.481,0.495,0.493,0.504,0.511
Washington,0.382,0.39,0.406,0.406,0.426,0.417,0.431,0.429,0.417,0.426,0.427,0.436,0.432,0.443,0.457,0.463,0.474,0.484
West Virginia,0.231,0.226,0.25,0.26,0.256,0.267,0.278,0.28,0.28,0.283,0.289,0.315,0.304,0.321,0.317,0.331,0.343,0.323
Wisconsin,0.359,0.364,0.364,0.371,0.39,0.399,0.405,0.405,0.411,0.41,0.418,0.425,0.442,0.449,0.457,0.461,0.477,0.487
Wyoming,0.32,0.305,0.322,0.342,0.347,0.325,0.344,0.361,0.358,0.346,0.372,0.379,0.365,0.416,0.392,0.406,0.426,0.406