State,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Alabama,0.0031,0.0027,0.0012,0.002,0.0023,0.0023,0.0019,0.0009,0.003,0.0017,0.0025,0.001,0.0021,0.0021,0.0025,0.0026,0.0023,0.0025
Alaska,0.0062,0.0061,0.0053,0.0041,0.0066,0.0043,0.0048,0.0048,0.0045,0.004,0.0025,0.0037,0.0044,0.0034,0.0043,0.0041,0.0043,0.0047
Arizona,0.0037,0.0043,0.0041,0.0018,0.004,0.0046,0.003,0.0033,0.0033,0.0032,0.003,0.0046,0.0049,0.0046,0.0033,0.0052,0.0034,0.0022
Arkansas,0.0025,0.0045,0.0024,0.0032,0.0034,0.0037,0.0018,0.003,0.0041,0.0047,0.0037,0.0034,0.0039,0.0036,0.0037,0.0034,0.0028,0.0021
California,0.0035,0.0034,0.0034,0.0036,0.0028,0.0028,0.004,0.0038,0.0039,0.0032,0.0035,0.004,0.0044,0.0041,0.0047,0.0044,0.0041,0.004
Colorado,0.0054,0.003,0.0048,0.0042,0.0034,0.0045,0.0039,0.004,0.0035,0.0053,0.0028,0.0034,0.0043,0.0038,0.0045,0.0042,0.0037,0.0038
Connecticut,0.0035,0.0015,0.0013,0.003,0.0018,0.0036,0.0018,0.0016,0.0023,0.0027,0.0029,0.0021,0.003,0.0029,0.0024,0.0034,0.0032,0.0028
Delaware,0.0029,0.0024,0.0016,0.0013,0.0025,0.0013,0.0013,0.0017,0.0015,0.0016,0.0019,0.0014,0.002,0.003,0.0022,0.0027,0.0027,0.0028
District of Co,0.0026,0.0028,0.0029,0.0014,0.0041,0.0024,0.0034,0.0022,0.0019,0.0024,0.0029,0.0046,0.0029,0.0032,0.0031,0.003,0.0026,0.0029
Florida,0.0038,0.0032,0.003,0.003,0.0031,0.0027,0.003,0.0029,0.003,0.0028,0.0034,0.0036,0.0037,0.0044,0.004,0.0038,0.0036,0.0034
Georgia,0.0039,0.0022,0.0032,0.0026,0.0027,0.0023,0.0022,0.0033,0.0037,0.0033,0.0044,0.004,0.0059,0.0044,0.0051,0.0035,0.0027,0.0024
Hawaii,0.002,0.0021,0.0022,0.003,0.0024,0.0025,0.0032,0.0024,0.0024,0.0034,0.004,0.0021,0.0022,0.0027,0.0024,0.0018,0.004,0.0034
Idaho,0.004,0.0042,0.0034,0.0041,0.0044,0.0043,0.0031,0.0035,0.0045,0.0047,0.0037,0.0046,0.0037,0.0045,0.0039,0.0038,0.0041,0.0031
Illinois,0.0029,0.0021,0.0025,0.0022,0.0024,0.0027,0.0024,0.0025,0.0027,0.0026,0.0018,0.0024,0.0026,0.0024,0.0026,0.002,0.0022,0.002
Indiana,0.0027,0.0019,0.0028,0.0038,0.003,0.0023,0.0024,0.0025,0.0023,0.0029,0.0021,0.0024,0.0028,0.0028,0.0019,0.002,0.0026,0.0016
Iowa,0.0056,0.0031,0.0028,0.0025,0.0039,0.0032,0.002,0.0034,0.0024,0.0034,0.0031,0.0026,0.0019,0.0023,0.003,0.0024,0.0021,0.0011
Kansas,0.0041,0.0026,0.0032,0.0024,0.0025,0.0033,0.0033,0.0025,0.0025,0.0025,0.0022,0.0025,0.0025,0.0023,0.0035,0.0027,0.0023,0.0018
Kentucky,0.0034,0.0028,0.0022,0.0018,0.0019,0.0033,0.0029,0.0028,0.0026,0.0018,0.0024,0.0032,0.0036,0.0025,0.0028,0.0037,0.0038,0.0036
Louisiana,0.003,0.0035,0.0031,0.0032,0.0029,0.002,0.0026,0.004,0.0026,0.0032,0.003,0.0044,0.0026,0.0043,0.0046,0.0034,0.004,0.0031
Maine,0.0037,0.003,0.0048,0.0028,0.0034,0.0026,0.0025,0.0028,0.004,0.0036,0.0042,0.0027,0.0038,0.0034,0.0029,0.0036,0.0035,0.0029
Maryland,0.0026,0.0024,0.0026,0.0033,0.0029,0.0022,0.0035,0.0036,0.0029,0.0042,0.0027,0.0032,0.0023,0.0029,0.0024,0.0029,0.0025,0.0027
Massachusetts,0.0022,0.0017,0.0021,0.0012,0.0016,0.0015,0.0019,0.0022,0.0019,0.0023,0.0035,0.0024,0.0028,0.0033,0.0032,0.0026,0.0027,0.0025
Michigan,0.002,0.0028,0.0026,0.0022,0.0025,0.0022,0.0025,0.0028,0.0019,0.0023,0.0016,0.0029,0.0028,0.003,0.0025,0.0022,0.0018,0.0029
Minnesota,0.0024,0.0031,0.0038,0.0024,0.0019,0.002,0.0035,0.0027,0.0028,0.0031,0.0029,0.0031,0.0021,0.0022,0.0021,0.0023,0.0015,0.0016
Mississippi,0.0022,0.0023,0.0034,0.0038,0.0038,0.0034,0.0021,0.0022,0.0038,0.0039,0.0052,0.003,0.0036,0.0017,0.0044,0.0026,0.0043,0.0024
Missouri,0.0034,0.002,0.0032,0.002,0.0024,0.0022,0.0027,0.0023,0.0023,0.0019,0.0025,0.0024,0.0015,0.0027,0.0029,0.004,0.0035,0.0022
Montana,0.0046,0.0054,0.0056,0.0041,0.005,0.0031,0.0045,0.0072,0.0056,0.0049,0.006,0.004,0.0053,0.0047,0.0039,0.0033,0.0053,0.0061
Nebraska,0.0022,0.0056,0.003,0.0021,0.0034,0.0033,0.0034,0.0031,0.0034,0.0023,0.0028,0.0031,0.0027,0.002,0.003,0.0028,0.0017,0.0031
Nevada,0.0035,0.0035,0.0037,0.002,0.002,0.002,0.0027,0.0028,0.0026,0.0035,0.0033,0.003,0.0038,0.0038,0.0051,0.0039,0.0039,0.0023
New Hampshire,0.0033,0.0012,0.0031,0.0025,0.0022,0.0026,0.0025,0.0028,0.0021,0.0028,0.0021,0.0028,0.0027,0.0028,0.0025,0.0027,0.0033,0.002
New Jersey,0.0015,0.0022,0.0026,0.002,0.0022,0.0023,0.0024,0.0027,0.0024,0.003,0.0024,0.0026,0.0028,0.0033,0.0025,0.0027,0.0021,0.0019
New Mexico,0.0046,0.0055,0.0069,0.0042,0.0045,0.0031,0.0036,0.0056,0.005,0.0045,0.0035,0.0025,0.0058,0.0026,0.0032,0.0025,0.0052,0.0034
New York,0.0028,0.0026,0.0029,0.0029,0.0031,0.0026,0.0031,0.0025,0.0024,0.0028,0.0033,0.0035,0.004,0.0034,0.0036,0.0037,0.0034,0.0029
North Carolina,0.0031,0.0024,0.003,0.0032,0.003,0.0027,0.0037,0.0026,0.0026,0.0023,0.002,0.0032,0.0023,0.0025,0.0035,0.0028,0.0026,0.0032
North Dakota,0.0055,0.005,0.0032,0.004,0.0043,0.0018,0.0025,0.0042,0.0022,0.0032,0.0029,0.0025,0.0028,0.0032,0.003,0.0028,0.0037,0.0019
Ohio,0.0024,0.0028,0.0024,0.0028,0.002,0.002,0.0018,0.0022,0.0025,0.0027,0.0022,0.0019,0.0019,0.0027,0.003,0.0027,0.0019,0.002
Oklahoma,0.0044,0.0033,0.0037,0.0029,0.0022,0.0029,0.0037,0.003,0.0047,0.0041,0.0043,0.0034,0.003,0.0047,0.0032,0.0021,0.0031,0.003
Oregon,0.0049,0.0033,0.0047,0.0045,0.004,0.0033,0.0028,0.0037,0.0032,0.0033,0.0038,0.0035,0.0037,0.0038,0.0032,0.0025,0.0022,0.0021
Pennsylvania,0.002,0.0015,0.0015,0.0014,0.0017,0.0017,0.0014,0.0022,0.0016,0.0018,0.0017,0.0015,0.0014,0.002,0.0018,0.0016,0.002,0.002
Rhode Island,0.0018,0.0014,0.0018,0.0014,0.0014,0.0014,0.0013,0.002,0.0032,0.0024,0.0028,0.0021,0.0025,0.0024,0.0025,0.0022,0.002,0.0014
South Carolina,0.0033,0.0026,0.0031,0.0022,0.0019,0.0016,0.0026,0.0027,0.0024,0.0025,0.0018,0.0026,0.0025,0.0023,0.0023,0.0029,0.0036,0.0026
South Dakota,0.0031,0.0046,0.0051,0.0034,0.0036,0.0036,0.0034,0.0032,0.003,0.0031,0.0041,0.0029,0.003,0.0043,0.0019,0.0032,0.0027,0.0041
Tennessee,0.0049,0.0026,0.0029,0.002,0.0025,0.0013,0.0029,0.0028,0.0026,0.0023,0.0025,0.0044,0.0033,0.0036,0.0041,0.0029,0.0024,0.003
Texas,0.0035,0.0031,0.0025,0.0028,0.0033,0.0039,0.0036,0.0043,0.0037,0.0035,0.003,0.0029,0.0037,0.0045,0.004,0.0044,0.0036,0.0032
Utah,0.0031,0.0035,0.003,0.0028,0.0035,0.0025,0.003,0.003,0.0034,0.0038,0.0029,0.0034,0.004,0.0036,0.0037,0.0028,0.0033,0.0032
Vermont,0.004,0.0043,0.0036,0.0036,0.0039,0.0031,0.0028,0.0032,0.0042,0.0055,0.0038,0.0042,0.0027,0.0037,0.0045,0.0039,0.0052,0.0026
Virginia,0.0026,0.003,0.0023,0.0017,0.0018,0.002,0.0025,0.0026,0.0028,0.0022,0.0028,0.0022,0.002,0.0027,0.0024,0.002,0.002,0.0024
Washington,0.0032,0.003,0.0025,0.0029,0.0023,0.0035,0.0023,0.0033,0.0042,0.0023,0.0027,0.0022,0.0027,0.0024,0.0024,0.0023,0.003,0.0017
West Virginia,0.0018,0.0013,0.0025,0.002,0.0018,0.0012,0.0015,0.0026,0.002,0.0017,0.0019,0.0008,0.0017,0.0035,0.0017,0.0015,0.0021,0.0028
Wisconsin,0.0019,0.0023,0.0027,0.0015,0.0045,0.0024,0.0028,0.0027,0.0034,0.0027,0.0027,0.0029,0.0017,0.003,0.0018,0.0023,0.0018,0.0017
Wyoming,0.0035,0.0033,0.0043,0.0051,0.0042,0.0034,0.0034,0.0034,0.0042,0.0048,0.0032,0.0043,0.0027,0.0033,0.0022,0.0022,0.0024,0.0037