State,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
United States,2.85,2.86,2.93,3.1,3.32,3.6,3.65,3.62,3.57,3.55,3.65,3.94,4.06,4.17,4.03,3.97,3.81,3.74,3.82,3.84
Alabama,4.03,3.6,3.56,3.59,3.87,4.15,3.93,3.83,3.72,3.91,4.2,4.61,4.85,4.95,4.46,4.38,4.19,4.48,4.67,4.75
Alaska,3.17,3.81,4.01,4.12,4.32,4.5,4.22,3.89,3.87,3.5,3.02,3.49,3.42,3.31,3.16,3.26,3.14,3.22,3.38,3.41
Arizona,2.83,2.81,2.8,2.9,2.95,3.28,3.24,3.21,3.13,3.04,3.27,3.71,3.81,3.87,3.87,3.87,3.68,3.7,3.73,3.72
Arkansas,1.87,1.68,1.91,2,1.9,2.47,2.38,2.46,2.62,2.61,2.62,2.61,2.63,2.66,2.66,2.58,2.43,2.48,2.49,2.53
California,2.93,2.91,2.95,3.18,3.37,3.58,3.75,3.64,3.57,3.55,3.65,3.99,3.97,4.01,3.92,3.69,3.51,3.38,3.34,3.28
Colorado,3.28,3.13,3.05,3.09,3.41,3.7,3.91,3.85,3.66,3.65,3.74,4.42,4.63,4.89,4.9,4.35,4.02,4,4.19,4.21
Connecticut,2.75,2.73,2.81,2.9,3.08,3.33,3.34,3.27,3.18,3,3.13,3.29,3.74,4,3.88,4.3,4.27,4.2,4.47,4.72
Delaware,2.02,1.95,1.87,1.85,2.05,2.22,2.26,2.27,2.26,2.28,2.47,2.4,2.93,3.13,3,3.25,2.88,2.7,2.81,2.83
Florida,1.65,1.72,1.74,1.9,1.97,2.26,2.29,2.28,2.23,2.3,2.43,2.62,2.7,2.85,2.83,2.71,2.71,2.63,2.69,2.67
Georgia,3.04,2.92,3.04,3.13,3.33,3.58,3.46,3.4,3.35,3.48,3.84,3.98,4.06,4.21,4.24,4.25,4.02,3.99,4.03,4.16
Hawaii,3.93,4,3.91,3.67,3.82,3.87,4.61,4.22,4.32,4.34,4.28,4.73,4.66,4.69,4.56,4.54,4.3,4.01,3.7,3.38
Idaho,2.32,2.08,1.92,2.18,2.38,2.63,2.71,2.55,2.24,2.15,2.08,2.29,2.29,2.52,2.53,2.36,2.24,2.21,2.24,2.25
Illinois,2.33,2.36,2.38,2.54,2.8,3.25,3.24,3.19,3.09,3.04,3.22,3.46,3.36,3.42,3.28,3.38,3.04,3.01,2.98,3.03
Indiana,2.28,2.35,2.47,2.82,3.03,3.49,3.85,3.38,3.56,3.69,3.9,4.29,4.24,4.4,4.39,4.33,4.03,4.01,4.17,4.17
Iowa,4.18,4.22,4.4,4.58,4.84,4.86,4.71,4.63,4.65,4.42,3.95,4.2,4.99,4.92,4.57,4.46,4.51,4.26,4.51,4.54
Kansas,2.7,2.83,2.96,2.98,3.23,3.55,3.71,3.76,3.4,3.29,3.39,3.76,3.78,3.78,3.75,3.81,3.69,3.71,3.59,3.61
Kentucky,2.2,2.37,2.41,2.51,2.7,3.13,3.5,3.35,3.38,3.49,3.39,3.53,3.49,3.51,3.33,3.02,2.86,2.69,2.8,2.9
Louisiana,2.91,2.96,3.05,3.11,3.36,3.42,3.42,3.07,2.81,3.06,3.24,3.44,3.16,3.18,2.99,2.93,2.8,2.83,3,2.91
Maine,1.1,1.29,1.57,1.85,1.87,2.03,2.26,2.13,2.55,2.91,3.04,3.1,2.66,2.7,2.27,1.95,2.23,1.79,1.68,1.99
Maryland,7.76,7.62,7.81,8.02,8.67,9.03,9.3,9.03,9.16,8.94,9.36,10.07,9.92,10.41,10.03,10.06,10.14,10.19,9.89,10.09
Massachusetts,5.41,5.29,5.13,5.33,5.6,6.03,6.3,6.34,6.2,6.02,6.17,6.66,6.71,6.93,7.23,7.78,7.39,7.31,7.3,7.26
Michigan,2.8,2.72,2.86,3.16,3.38,3.84,3.87,3.9,3.95,3.97,4.38,5.1,5.25,5.39,5.3,5.24,5,4.92,5.04,5.26
Minnesota,2.19,2.13,2.17,2.37,2.45,2.44,2.37,2.37,2.51,2.55,2.74,3.03,3.06,3.17,2.94,2.94,2.88,2.83,2.84,2.75
Mississippi,2.49,2.73,3.28,3.86,4.17,4.61,4.73,4.55,4.53,4.69,4.39,4.67,4.66,4.78,4.78,4.1,3.96,3.86,4.26,4.36
Missouri,2.85,3.09,3.27,3.54,3.59,4.07,4.05,4.11,3.99,4.04,3.9,4.06,4.21,4.31,4.09,3.87,3.69,3.64,3.78,3.78
Montana,3.79,4.05,4.53,4.67,5.11,5.77,5.82,5.95,5.58,5.25,5.38,5.46,5.46,4.81,4.68,4.31,4.07,3.93,4.28,4.87
Nebraska,3.55,3.78,3.62,4.01,4.28,4.79,4.85,5.06,4.77,4.56,4.61,4.74,4.36,4.14,4.29,4.13,4.08,4.04,4.15,4.33
Nevada,1.31,1.3,1.4,1.45,1.5,1.73,1.58,1.54,1.55,1.5,1.52,1.55,1.41,1.31,1.2,1.17,1.14,1.09,1.27,1.31
New Hampshire,2.92,3.08,3.42,4.36,4.63,5.05,5.28,5.24,5.42,5.16,5.1,4.99,4.85,5.5,5.41,5.05,5.05,4.71,4.85,5.62
New Jersey,1.51,1.55,1.57,1.68,1.78,1.92,2,2.07,1.93,1.88,1.84,1.96,2.17,2.29,2.14,2.2,2.07,1.94,1.99,2.09
New Mexico,4.53,4.22,4.39,4.82,4.97,4.98,4.43,5.03,5.6,5.22,5.11,5.45,5.03,4.68,4.58,4.57,4.46,4.3,4.12,3.97
New York,2.61,2.64,2.79,2.84,3.12,3.45,3.57,3.64,3.65,3.67,3.71,3.73,4.08,4.28,4.05,4.07,3.95,3.83,3.94,3.98
North Carolina,3.68,3.84,3.76,3.91,4.24,4.61,4.55,4.8,4.52,4.84,4.87,5.41,5.94,6.25,6.1,6.01,5.92,5.59,5.67,5.73
North Dakota,3.38,3.62,3.75,4.45,5.22,6.12,6.57,6.16,6.17,5.96,5.73,5.84,5.76,5.13,4.2,4.07,3.79,3.97,4.46,4.96
Ohio,2.25,2.22,2.35,2.51,2.71,3.16,3.09,3.43,3.53,3.7,3.8,4.06,4.13,4.23,3.94,3.86,3.64,3.53,3.53,3.56
Oklahoma,2.56,2.8,2.74,2.61,2.83,2.86,2.56,2.43,2.24,2.15,2.18,2.43,2.62,2.69,2.52,2.3,2.14,2.27,2.74,2.7
Oregon,2.98,3.04,2.93,3.12,3.17,3.82,4.05,4.09,3.95,3.94,4.01,4.4,4.25,4.34,4.14,3.93,3.73,3.54,3.53,3.46
Pennsylvania,3.62,3.57,3.79,3.96,4.34,4.53,4.7,4.81,4.73,4.46,4.61,4.85,5.22,5.36,5.05,5.06,4.82,4.73,5.45,5.56
Rhode Island,3.67,3.75,3.77,3.95,4.26,4.65,4.91,4.99,5.64,5.31,5.59,5.73,8.65,9.15,9.59,9.01,8.2,7.98,8.02,5.59
South Carolina,2.37,2.4,2.52,2.98,3.17,3.48,3.47,3.52,3.55,3.65,3.65,3.92,4.03,3.65,3.63,3.54,3.42,3.26,3.23,3.15
South Dakota,1.25,1.2,1.19,1.33,1.41,1.82,2,2.3,2.34,2.38,2.53,3.06,3.5,3.28,2.97,2.62,2.28,2.17,2.21,2.28
Tennessee,2.07,2.11,2.22,2.27,2.48,3.04,3.13,3.32,3.21,3.27,3.31,3.51,3.67,3.8,3.61,3.52,3.73,3.34,3.27,3.4
Texas,2.6,2.65,2.71,2.86,3.16,3.42,3.27,3.22,3.11,3,3.13,3.55,3.57,3.5,3.3,3.2,3.13,3.21,3.36,3.32
Utah,4.05,4.17,4.37,4.56,4.69,4.92,4.84,4.32,3.98,3.67,3.72,4.5,4.77,5.04,4.83,5.13,4.91,4.9,3.63,3.69
Vermont,3.63,3.78,3.55,4.01,4.49,5.09,5.13,5.02,5.12,4.76,4.61,4.85,4.9,4.88,4.16,4.16,3.86,3.9,3.81,3.76
Virginia,2.13,2.01,2.06,2.15,2.37,2.64,2.68,2.69,2.67,2.64,2.81,2.82,2.84,3.22,3.1,3.12,2.98,2.91,2.96,3.04
Washington,2.57,2.56,2.68,2.94,3.14,3.41,3.38,3.09,3.26,2.96,3.11,3.21,3.72,3.96,3.68,3.72,3.47,3.29,3.34,3.33
West Virginia,1.61,1.58,1.78,1.87,2.24,2.82,2.82,2.81,2.72,2.95,2.96,2.96,2.98,3.08,2.91,2.77,2.72,2.83,2.85,2.88
Wisconsin,3.26,3.44,3.64,3.88,4.12,4.69,4.81,4.83,4.78,4.73,4.87,5.21,5.25,5.47,5.41,5.03,4.8,4.5,4.67,4.68
Wyoming,3.25,3,2.49,2.21,2.16,2.86,2.59,3.08,2.77,2.19,1.8,2.21,1.48,1.46,1.71,1.68,1.31,1.51,3.12,3.32