Categories,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
All RnD fields,326750,312311,318316,303085,290707,271835,266447,250694,230651,236368
Science,315157,304438,310288,294201,280362,260668,257187,238196,219832,227684
Computer sciences,22378,20456,22488,31958,23955,24677,34176,21252,18922,18143
Environmental sciences,88330,78775,86166,84708,77907,71276,65677,60612,60485,54891
Atmospheric sciences,2001,1138,1380,1701,2270,2472,2675,2490,2968,3936
Earth sciences,24533,15307,17056,13358,13235,12441,14242,14250,11912,11294
Oceanography,57004,56340,63152,65266,57171,52481,46455,41043,42451,37305
Environmental sciences,4792,5990,4578,4383,5231,3882,2305,2829,3154,2356
Life sciences,120481,123691,119293,103451,107753,100277,90518,83980,84326,99014
Agricultural sciences,24517,20775,19766,16710,18148,19198,17993,15379,15626,15883
Biological sciences,8629,8840,9409,9103,9169,8766,7424,3287,4630,4127
Medical sciences,76953,82338,79383,67857,68645,60456,57078,52753,44450,51904
Life sciences,10382,11738,10735,9781,11791,11857,8023,12561,19620,27100
Mathematical sciences,98,62,11,28,32,15,5,0,0,46
Physical sciences,37276,45881,45083,39689,43051,38550,40124,40300,29343,22653
Astronomy,28815,37769,36411,31807,36421,31287,32455,32760,21719,15091
Chemistry,1912,2626,3235,3650,2965,2602,1860,1476,1731,2240
Physics,5127,3967,3710,2715,2536,3683,5305,5875,5609,5225
Physical sciences,1422,1519,1727,1517,1129,978,504,189,284,97
Psychology,280,79,209,459,801,1010,863,858,739,4148
Social sciences,10274,5378,7833,9222,7501,7543,6354,6740,5698,7407
Economics,36,0,7,71,60,51,22,68,151,24
Political sciences,0,0,0,0,5,13,4,9,0,13
Sociology,740,566,350,1083,849,427,332,75,253,205
Social sciences,9498,4812,7476,8068,6587,7052,5996,6588,5294,7165
Sciences,36040,30116,29205,24686,19362,17320,19470,24454,20319,21382
Engineering,11245,7873,8028,8884,10345,11167,9260,11439,10819,8684
Aeronautical/astronautical engineering,0,0,0,0,0,0,0,0,0,35
Bioengineering/biomedical engineering,809,0,0,0,0,0,0,0,0,0
Chemical engineering,0,0,0,0,0,0,0,0,0,0
Civil engineering,2549,2115,2751,2806,3050,2414,1537,1414,1066,1138
Electrical engineering,3893,1443,1430,1682,1323,1236,1264,1888,2457,1297
Mechanical engineering,2487,2308,2194,2070,2413,3237,4055,3433,2598,2069
Metallurgical/materials engineering,18,15,428,0,0,0,24,39,1007,1395
Engineering,1489,1992,1225,2326,3559,4280,2380,4665,3691,2750
Non SE,348,0,0,0,0,0,0,1059,0,0
Business and management,9,0,0,0,0,0,0,12,0,0
Communications, journalism, and library science,0,0,0,0,0,0,0,0,0,0
Education,123,0,0,0,0,0,0,795,0,0
Humanities,25,0,0,0,0,0,0,230,0,0
Law,36,0,0,0,0,0,0,19,0,0
Social work,155,0,0,0,0,0,0,0,0,0
Visual and performing arts,0,0,0,0,0,0,0,3,0,0
Non SE,0,0,0,0,0,0,0,0,0,0