GeoFips,State,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,United States,46473,46518,47550,49416,49966,47855,47324,48224,48663,49036,47671,45137,44564,44213,45052,46067,46573,47775,48282,48936,48717,48283,47962,49692,49442,49508,49235,49651,50624,52462,53810,55026,55617,55912,56304,57125,56696,57026,56380,55732,55442,56384,56136,56725,56453,57033
1000,Alabama,37180,37367,38724,40542,41558,40206,40161,41817,42029,42867,41824,39441,39200,38780,39638,40571,41352,42306,42400,42717,42546,42036,42355,43386,42799,43535,42882,42847,43015,44748,45725,45756,46513,47248,47827,48429,48146,48070,46990,46466,47428,48047,47320,47308,47165,47780
2000,Alaska,64563,66658,68448,70232,69162,73009,86049,94290,84032,76151,70446,69279,70075,69565,70422,68591,68048,67094,60855,59845,60078,58572,57490,58445,57644,56823,55820,54494,54862,55033,55375,55816,57326,58445,59563,59834,60063,60221,60154,60167,62616,63923,64524,65370,64497,64702
4000,Arizona,45304,45589,47339,49042,49240,47716,45716,46566,46320,46545,46026,43995,43299,42194,42649,42893,42826,44082,44399,44568,43315,42513,43173,44523,44669,44892,45072,45302,46061,48200,49344,50517,50883,51291,50968,51673,51820,53061,52321,51227,50683,50722,50517,50858,50237,50721
5000,Arkansas,33344,33769,34686,36738,39668,37928,37729,38277,38705,40576,39049,35294,35717,34740,34901,36600,36718,37685,37704,38151,37774,37402,37333,39073,38434,39204,38652,38956,39268,40763,41694,41717,42320,42543,44353,45401,44426,44201,44208,43283,43344,43444,43075,44316,45069,45329
6000,California,53332,53048,53706,55552,54920,52769,51734,52973,53333,53489,51912,49641,48624,48769,49850,51040,51769,53532,54499,54704,53965,53437,53219,55413,54852,54498,53963,54339,55971,57831,60153,63717,63459,63445,63974,65312,64649,64773,63758,62412,62035,63006,63088,63897,63266,63897
8000,Colorado,43373,44380,46280,47874,47873,46663,45954,46208,46269,46793,45908,44064,43706,43638,44398,44237,44370,45208,45440,44843,44511,44250,44321,46152,46560,46249,46663,47177,47950,50950,53554,55995,56867,56347,56115,56360,56241,56543,55080,54862,54451,55174,54540,55523,55376,56511
9000,Connecticut,51220,51093,51605,53317,53185,50750,49831,50411,50849,50937,49796,47843,46918,47163,48812,50360,51366,53149,55632,57473,58023,57528,58290,60199,60120,61114,60918,60922,63715,65840,67591,69594,71045,70511,70577,71963,71392,71458,71070,68603,68677,69978,69141,69077,68611,69450
10000,Delaware,49057,48289,50177,51696,52742,51288,51496,52585,52754,53013,50897,49282,47917,48214,49041,49523,49820,50139,50677,51310,52054,51418,52229,53210,52162,52769,51744,52370,53256,55350,57265,57999,60995,62445,62417,62905,62779,63067,61012,59638,60569,60781,60467,60863,60013,60883
12000,Florida,41985,42321,43365,44971,45071,43423,42641,43209,43054,42968,41961,40353,39518,39134,40469,40580,40982,42042,44057,44458,43927,43401,43587,45052,45137,44982,44966,45073,45171,46588,47362,47953,49055,49911,50226,50725,51066,51076,49749,48414,48007,48304,46772,47064,46824,47149
13000,Georgia,39376,39615,40720,42788,43715,41985,41297,42492,42718,43245,42147,39712,39644,39718,41026,42250,43040,44661,45332,45965,45584,45305,45754,47441,46801,47117,47281,47952,48796,51418,53088,53771,54462,54772,54867,54880,54126,53853,52971,51887,51822,51576,50786,51469,51399,51824
15000,Hawaii,47287,48967,49768,51100,51033,50822,48514,48791,49253,48759,46698,45114,43748,44014,45412,45795,45947,47222,46915,48193,49011,49578,49067,50792,50763,50271,49083,47648,47854,47241,47718,47786,48190,50112,51096,51851,51948,51981,51246,50966,52087,52687,52620,53165,52292,52563
16000,Idaho,39828,39853,40111,42998,44793,45437,42205,42213,41693,42612,40698,39594,38835,37247,38839,38899,39042,39054,39006,39489,40121,39966,38981,40501,41439,40825,40658,40284,39693,41183,42704,43549,43532,43712,43397,44742,43924,44617,43795,42002,42356,43522,42859,42886,43536,43712
17000,Illinois,51194,51087,52606,54831,55555,53298,52968,53514,54287,54438,53048,49682,48778,47750,48215,49742,50415,51543,52238,53348,53145,52593,51599,54333,54078,54218,54015,54813,55971,57104,58580,59337,60006,60808,60925,61803,61041,61581,61176,60375,59579,59924,59988,60387,60540,60258
18000,Indiana,46002,44899,46233,47698,49437,46466,46077,47516,47955,48330,46881,43506,42616,41457,41604,43154,43249,43924,44280,44426,44578,43666,43286,44842,44902,45422,44599,45113,45758,47840,48744,49231,49442,49984,50553,51378,50406,50413,49467,48943,48047,48825,49023,49625,49938,50067
19000,Iowa,41914,41392,40948,44262,48845,43548,43760,42380,43003,46015,42627,38374,39073,36363,35284,38046,38251,39272,40355,39259,39767,39038,37820,39653,37980,40482,38901,40536,40937,41485,41906,42762,42996,43870,44874,47440,46498,46262,46911,48049,47341,47840,49689,49848,49960,50208
20000,Kansas,39247,40226,41645,44517,46485,43274,42143,42284,41826,41703,41801,38461,38254,38200,38056,39294,39720,41298,40641,40928,40480,40592,39760,41633,41687,41955,40871,41723,42387,43591,44660,44966,45518,45668,46837,47750,47997,48289,47950,48836,47968,49039,50376,50067,50743,49704
21000,Kentucky,38478,38705,39591,41693,42257,41442,40954,42130,43254,43281,42895,39916,39701,39072,38544,40656,40396,39793,40456,41521,41119,40364,40526,41883,41525,41807,40556,40992,41685,42928,43904,44717,45372,46394,46913,47993,48096,47635,46717,46378,46503,47341,47137,47448,47280,47250
22000,Louisiana,40183,40598,41750,43162,43763,43009,42654,44525,45573,46426,46238,44441,44559,43962,43931,43758,43485,43621,42961,43178,42738,42741,42607,43837,43268,43871,43357,43326,43836,44418,44471,44626,46037,46778,47383,48107,49039,50787,50499,51436,50843,51799,51181,51644,51566,52216
23000,Maine,38065,38582,39286,40883,41659,40254,38628,40814,40301,40198,38951,37129,36452,36191,37109,38023,38628,39709,40725,41345,41604,40917,40422,40801,40224,40106,39895,39944,40473,41479,42626,42722,43442,44374,45102,45668,44846,45413,44665,44022,44746,45297,44460,44548,44272,44402
24000,Maryland,47261,47996,49259,50976,51519,49807,48985,50248,49731,49356,47498,45315,44621,44431,45295,46459,47128,48515,48695,49858,49758,49409,49850,51103,51174,51376,50892,50836,51828,54134,55379,56382,57722,58945,59817,61424,61394,61754,60921,60694,62183,63336,63096,62858,61528,62102
25000,Massachusetts,47035,47471,48732,50256,50030,47389,46580,47437,47638,47505,45964,43986,43544,44026,45980,47444,48714,50641,53227,54698,54770,53961,54225,55362,54993,55366,56186,57245,58392,59913,62717,66179,66322,65939,66003,67771,66713,67289,67186,66177,66398,68040,67950,68281,67303,68217
26000,Michigan,55186,53683,55468,58268,59249,55557,54523,56642,58233,58494,56509,52716,50970,49548,50590,52032,52924,54170,52843,53470,52790,51252,50696,52269,52824,53487,53291,53123,53685,55932,56952,57235,56802,57038,57162,57163,56076,55357,53974,52678,51704,52238,51726,52032,51866,52194
27000,Minnesota,45511,46151,46485,47109,49950,46471,44998,44842,46535,47087,45144,42249,41696,41433,41635,44082,44262,45723,46129,45773,46341,45686,44842,46523,45565,46297,45682,47135,47866,50450,51515,52870,53165,53833,54716,55708,54527,53973,54223,54448,53048,54569,55048,55905,55788,56185
28000,Mississippi,32562,32596,33452,35706,36999,35192,34839,36615,37367,37519,37472,34232,34327,34239,33922,35014,35341,35793,36598,36913,36694,36463,36419,37526,37472,38479,38102,38358,38804,39969,40235,40282,41347,41468,42606,43810,43817,43392,42734,42598,42809,42905,41988,42940,43220,42832
29000,Missouri,42960,43610,44665,46298,46709,43653,43465,44067,45154,45411,44279,40977,40648,39964,40502,41716,42363,42979,43731,44041,43923,42942,42761,44143,43388,44011,43980,44560,45302,46165,47184,47966,48368,49220,49801,50692,50073,50306,49755,50119,50193,50346,49469,49992,50322,50803
30000,Montana,40700,41594,41428,45521,47911,44408,43734,42351,41224,43550,40668,38348,38283,37016,36842,36009,34934,36411,36158,34994,36061,35308,36035,36482,37810,35728,35114,34412,34353,35750,36422,36480,36927,37488,38410,39234,39613,39480,39527,39473,39411,40523,41196,41947,41822,42084
31000,Nebraska,40719,40116,41469,43361,46192,41442,43055,41388,40844,43365,40743,36510,38024,37409,37076,39485,40110,40766,40744,41379,40733,40764,40317,41551,40687,40814,41024,42785,42295,43317,44182,44283,45348,45971,48310,49203,48818,48016,48563,48718,48822,49612,52333,52088,53204,53554
32000,Nevada,52047,51936,52823,54440,54044,50764,49870,50507,50525,50795,48752,46868,46274,45544,46268,46032,46013,46716,46289,47592,47147,47282,48000,50904,50943,50074,50287,50314,50608,52238,53564,53282,53624,53953,54162,55061,55406,55346,55160,52824,51831,51959,49795,50046,48869,49626
33000,New Hampshire,39182,39261,40047,41467,41510,39572,39271,40255,40387,41082,40188,38052,37367,37451,39155,39666,40588,42479,45069,45949,45687,44137,44111,45005,44689,44800,45267,45823,47132,49314,50281,52339,52682,53287,53557,54594,54140,54814,53585,52565,53444,54760,54195,54375,53735,54774
34000,New Jersey,51065,51099,52425,54310,54535,52533,52205,53148,53653,53663,52088,49518,48710,48850,50288,51311,52269,54235,56035,58295,58157,58164,58302,60589,60803,61293,61528,61995,63284,65271,66410,67787,67609,68404,68274,68470,67740,67941,67238,66140,66489,66919,65734,66240,65709,66244
35000,New Mexico,42056,42755,43114,44427,44782,43038,43245,43846,44216,44771,43460,41527,41002,40536,40950,41351,41745,41878,41088,39972,39792,39956,39891,41104,41623,41537,40946,40624,41237,42390,42953,44540,46167,47218,46861,47141,47236,47238,46750,46752,46562,47855,47948,48026,47077,47785
36000,New York,54075,54514,56053,58205,57658,55403,54659,55172,55589,55648,53711,51681,50942,51385,53348,54680,55752,57946,60345,62438,62507,63222,61257,64052,63512,63238,64035,65168,67133,68739,70037,71244,71885,70976,70626,71879,71438,73137,74247,72319,71378,73681,72078,71789,71394,72806
37000,North Carolina,36056,36365,37460,39561,40629,39250,38945,39693,39507,40391,38647,37045,36942,36837,37937,39355,39989,41288,42062,42555,42627,42068,42221,43771,43774,44326,44060,44295,45145,46977,48183,49168,49653,49655,49940,50545,50459,50684,49758,49164,49931,51224,49306,51345,49439,50349
38000,North Dakota,38607,36896,40451,46763,61374,51975,47602,41584,38775,45171,39986,30565,36423,35594,36043,37197,37291,37544,37545,32415,34492,35738,34399,36843,35162,36670,34321,37609,34635,37718,37375,39094,38665,39367,43039,41994,42372,42040,43826,46522,45570,48759,50889,56602,54913,55337
39000,Ohio,49405,48607,49522,51361,51871,49735,48681,50232,51174,51184,49747,46483,45430,44699,45719,47191,47487,47938,47654,48307,48038,47458,46740,48501,48307,48620,47945,47882,48759,50255,50907,50906,51297,52025,52610,53247,52412,52670,51807,50972,51028,51931,52261,52703,52744,53145
40000,Oklahoma,38988,39639,40474,41586,43234,41524,41350,42005,42565,43107,43607,41711,41667,41862,41223,41591,41740,42724,40796,40780,40775,40144,39404,40447,40190,39912,38696,38761,39473,40704,41287,42781,44775,45393,46357,47380,48225,49281,47228,49464,45955,48138,50363,51973,52402,53441
41000,Oregon,45453,45192,45987,47925,48354,47201,45822,47378,47446,48145,47054,44469,42749,41388,41466,42049,41899,42728,42573,43268,43261,43432,43664,45124,45706,45668,45585,46279,46988,48491,49469,51085,50773,50800,50881,51179,50254,50495,49834,48791,48862,49317,49082,50356,50416,50826
42000,Pennsylvania,47403,47489,48246,50244,50654,49346,49033,50115,51056,51409,50031,47064,46212,45421,46130,47011,47201,48024,48413,49409,49586,49043,49027,50765,50873,50970,50511,50698,51352,53003,54027,54570,55190,55949,56644,57730,57079,57358,56692,56114,56489,57219,57092,57290,57405,57998
44000,Rhode Island,43470,44099,44787,46553,46080,43461,42980,43579,43297,43296,42470,40647,39717,40006,41523,41940,42709,44002,45221,46696,46992,46506,46058,47017,46921,47384,47890,47594,48483,50844,51626,52469,53126,54885,55982,56543,55850,56517,55417,54682,55210,57125,55905,56686,56369,57030
45000,South Carolina,35643,35528,36524,38382,39108,38283,37676,38943,39120,39726,38821,36861,36705,36373,37554,38561,38927,39940,40817,41247,41000,40668,40806,41788,41831,41870,41592,41625,42013,43569,44575,45084,45609,46102,46708,46912,46701,46928,46291,46060,46862,46918,45904,46649,45979,46273
46000,South Dakota,35081,35333,36770,41285,48396,41346,40874,36048,37966,39777,38621,32204,33709,32414,31990,35042,34383,35386,35536,35302,35161,36176,35354,36737,36397,37000,35069,37607,36854,39133,39960,40747,40896,40649,44061,45003,43737,41161,43008,43897,43521,44904,48260,47133,47514,46798
47000,Tennessee,37025,37300,38543,40038,40720,39240,39112,40410,40825,41823,40675,38553,38264,37940,38939,39999,40597,41545,41995,42457,41874,41365,41595,43438,43472,43589,43937,44245,45128,48335,48978,49333,49749,50826,51118,51770,50624,50585,49567,48979,49809,50397,50166,51780,51420,51636
48000,Texas,41830,42468,43120,44642,45535,44052,44694,46212,46594,47429,47093,45237,45518,45178,45902,45989,46161,46867,45094,45348,45249,45363,44955,46736,46836,46687,46671,47520,49277,51975,53519,54890,56603,55660,55744,56191,56204,57483,56258,56813,54218,55903,56866,58140,58119,59453
49000,Utah,41255,41814,43266,44370,44366,42697,42399,43688,44239,44535,43447,41619,41492,40934,41454,41778,41663,42159,41029,40611,39987,39736,40133,41671,41735,41142,41427,41223,41981,43521,44872,45223,46192,46247,45976,46476,46409,47766,47425,46477,46433,46966,46653,47302,47829,48124
50000,Vermont,39182,39401,39866,41280,41094,38653,37729,38731,38263,39173,38115,35786,35062,34649,35379,35991,36766,37884,39392,39746,40184,39524,39103,39911,39553,39217,39060,39495,39933,41170,42182,42929,43694,44384,45225,45900,45451,44970,44560,44055,44155,44846,45366,45292,45510,45650
51000,Virginia,41843,42235,43687,45810,45973,44211,43892,44617,44943,45208,43874,42102,42160,42341,43629,44664,45068,46272,46642,48059,47747,46654,47115,48458,48307,48427,47999,48156,49184,51391,53024,54492,55566,56124,57240,58671,58978,59000,58667,57892,59298,60433,59750,59901,59390,59526
53000,Washington,49141,48588,49364,51140,52058,50721,50637,51190,51627,52943,51690,49086,48248,47440,47496,47018,46787,48050,47245,47363,47256,47639,48461,50855,50825,49854,49918,50493,51857,55397,57836,58240,57845,58498,58667,59020,58395,58759,58778,57806,58336,59750,59839,60527,60437,61341
54000,West Virginia,41417,42376,43365,45487,45295,44081,44549,46020,47626,48018,47028,44513,43724,43469,42789,43738,43866,43673,42865,43480,42847,42340,42002,42807,42563,42553,41660,41239,41306,41625,42151,42708,43202,43704,44117,44874,45019,45780,44382,45145,45623,46052,47076,47500,46856,46507
55000,Wisconsin,44265,43836,44577,46150,46651,44591,43910,44754,45761,46062,44811,42203,40924,40192,40419,41511,41714,42814,43212,43258,43712,42959,42548,44151,44449,44867,44301,44662,45659,47175,47903,48093,48916,49959,50588,51297,50547,50587,50217,49704,50314,50406,50619,50989,50995,51275
56000,Wyoming,40164,41081,42002,44563,46800,46764,46258,46162,47622,49475,49274,47723,46853,45168,43546,43062,43280,43641,40470,38808,39653,39912,39026,39580,40145,38727,38176,37941,39435,40149,41414,41756,43117,43633,44734,45482,46426,49568,49393,51458,49682,51181,52441,52543,52381,53234
